MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
4,6,11,1,77,3.42300676194683,-76.5471434261955,77,3.42300676194683,-76.5471434261955,10,4,6135,0,0,2,1
4,6,13,1,81,3.39652709064599,-76.5241494534741,77,3.42300676194683,-76.5471434261955,18,15,6135,0,14,2,1
4,6,13,1,81,3.39652709064599,-76.5241494534741,77,3.42300676194683,-76.5471434261955,18,15,6135,8,1,2,1
4,6,13,1,81,3.39652709064599,-76.5241494534741,77,3.42300676194683,-76.5471434261955,18,15,6135,0,12,2,1
5,2,14,1,65,3.44332180671126,-76.4839397169372,72,3.44845956177583,-76.5277138083573,16,63,6135,9,1,2,3
5,4,20,2,20,3.48890402204464,-76.5078521568375,74,3.45384637947355,-76.5298314123795,16,17,6137,6,9,2,3
5,4,20,2,20,3.48890402204464,-76.5078521568375,74,3.45384637947355,-76.5298314123795,16,17,6135,6,0,2,3
5,4,20,2,74,3.45384637947355,-76.5298314123795,72,3.44845956177583,-76.5277138083573,5,19,6135,11,1,2,3
5,4,20,2,74,3.45384637947355,-76.5298314123795,72,3.44845956177583,-76.5277138083573,5,19,6135,11,1,2,3
5,5,14,1,72,3.44845956177583,-76.5277138083573,24,3.45241065631123,-76.5312831579744,18,39,6137,1,33,2,3
5,5,20,2,68,3.44801119892302,-76.5299371464294,74,3.45384637947355,-76.5298314123795,8,47,6137,10,22,2,3
5,5,20,2,68,3.44801119892302,-76.5299371464294,74,3.45384637947355,-76.5298314123795,8,47,6135,13,7,2,3
5,6,14,1,72,3.44845956177583,-76.5277138083573,68,3.44801119892302,-76.5299371464294,14,14,6138,0,13,2,3
5,2,9,1,4,3.44481498030605,-76.5085476281698,73,3.44265715161853,-76.5281285653011,23,20,6138,1,11,2,3
