,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
28448,19,9,20,6137,3.44383954253718,-76.4991024009094
28449,19,9,20,6135,3.44383954253718,-76.4991024009094
28450,19,9,20,6137,3.44383954253718,-76.4991024009094
28451,19,9,20,6137,3.44383954253718,-76.4991024009094
28452,19,9,20,6135,3.44383954253718,-76.4991024009094
28453,19,9,20,6137,3.44383954253718,-76.4991024009094
28454,19,9,20,6137,3.44383954253718,-76.4991024009094
28455,19,9,20,6135,3.44383954253718,-76.4991024009094
28456,19,9,20,6137,3.44383954253718,-76.4991024009094
28457,19,9,20,6137,3.44383954253718,-76.4991024009094
28458,26,16,20,6135,3.44332180671126,-76.4839397169372
28459,26,16,20,6137,3.44332180671126,-76.4839397169372
28460,26,16,20,6137,3.44332180671126,-76.4839397169372
28461,26,16,20,6135,3.44332180671126,-76.4839397169372
28462,26,16,20,6137,3.44332180671126,-76.4839397169372
28463,26,16,20,6137,3.44332180671126,-76.4839397169372
28464,26,16,20,6135,3.44332180671126,-76.4839397169372
28465,26,16,20,6137,3.44332180671126,-76.4839397169372
28466,26,16,20,6137,3.44332180671126,-76.4839397169372
28467,27,11,20,6135,3.44524469691041,-76.5148320438954
28468,27,11,20,6137,3.44524469691041,-76.5148320438954
28469,27,11,20,6137,3.44524469691041,-76.5148320438954
28470,27,11,20,6135,3.44524469691041,-76.5148320438954
28471,27,11,20,6137,3.44524469691041,-76.5148320438954
28472,27,11,20,6137,3.44524469691041,-76.5148320438954
28473,27,11,20,6135,3.44524469691041,-76.5148320438954
28474,27,11,20,6137,3.44524469691041,-76.5148320438954
28475,27,11,20,6137,3.44524469691041,-76.5148320438954
28476,26,11,20,6135,3.44210427482807,-76.5329592237468
28477,53,8,20,6137,3.43722520180155,-76.5174419856083
28478,53,8,20,6137,3.43722520180155,-76.5174419856083
28479,17,16,20,6138,3.44506799102323,-76.4875814710183
28480,17,16,20,6137,3.44506799102323,-76.4875814710183
28481,17,16,20,6135,3.44506799102323,-76.4875814710183
28482,17,16,20,6138,3.44506799102323,-76.4875814710183
28483,17,16,20,6138,3.44506799102323,-76.4875814710183
28484,17,16,20,6137,3.44506799102323,-76.4875814710183
28485,17,16,20,6135,3.44506799102323,-76.4875814710183
28486,17,16,20,6138,3.44506799102323,-76.4875814710183
28487,17,16,20,6138,3.44506799102323,-76.4875814710183
28488,17,16,20,6137,3.44506799102323,-76.4875814710183
28489,17,16,20,6135,3.44506799102323,-76.4875814710183
28490,17,16,20,6138,3.44506799102323,-76.4875814710183
28491,14,24,20,6137,3.41430411223566,-76.4832167677381
28492,14,24,20,6135,3.41430411223566,-76.4832167677381
28493,20,17,20,6137,3.43722520180155,-76.5174419856083
28494,20,17,20,6137,3.43722520180155,-76.5174419856083
28495,12,22,20,6137,3.41849359094018,-76.4867977476542
28496,12,22,20,6135,3.41849359094018,-76.4867977476542
28497,12,22,20,6137,3.41849359094018,-76.4867977476542
28498,13,8,20,6135,3.42707920141203,-76.505252686775
28499,13,8,20,6135,3.42707920141203,-76.505252686775
28500,13,8,20,6135,3.42707920141203,-76.505252686775
28501,13,8,20,6137,3.42707920141203,-76.505252686775
28502,13,8,20,6135,3.42707920141203,-76.505252686775
28503,13,8,20,6135,3.42707920141203,-76.505252686775
28504,13,8,20,6135,3.42707920141203,-76.505252686775
28505,13,8,20,6137,3.42707920141203,-76.505252686775
28506,13,8,20,6135,3.42707920141203,-76.505252686775
28507,13,8,20,6135,3.42707920141203,-76.505252686775
28508,13,8,20,6135,3.42707920141203,-76.505252686775
28509,13,8,20,6137,3.42707920141203,-76.505252686775
28510,8,8,20,6135,3.44402100008543,-76.5209314646704
28511,8,8,20,6135,3.44402100008543,-76.5209314646704
28512,8,8,20,6135,3.44402100008543,-76.5209314646704
28513,8,8,20,6135,3.44402100008543,-76.5209314646704
28514,8,8,20,6135,3.44402100008543,-76.5209314646704
28515,8,8,20,6135,3.44402100008543,-76.5209314646704
28516,8,8,20,6135,3.44402100008543,-76.5209314646704
28517,8,8,20,6135,3.44402100008543,-76.5209314646704
28518,12,4,20,6137,3.44524469691041,-76.5148320438954
28519,12,4,20,6135,3.44524469691041,-76.5148320438954
28520,12,4,20,6135,3.44524469691041,-76.5148320438954
28521,12,4,20,6135,3.44524469691041,-76.5148320438954
28522,12,4,20,6137,3.44524469691041,-76.5148320438954
28523,12,4,20,6135,3.44524469691041,-76.5148320438954
28524,12,4,20,6135,3.44524469691041,-76.5148320438954
28525,12,4,20,6135,3.44524469691041,-76.5148320438954
28526,9,12,20,6135,3.44210427482807,-76.5329592237468
28527,9,12,20,6137,3.44210427482807,-76.5329592237468
28528,9,12,20,6137,3.44210427482807,-76.5329592237468
28529,9,12,20,6135,3.44210427482807,-76.5329592237468
28530,9,12,20,6137,3.44210427482807,-76.5329592237468
28531,9,12,20,6137,3.44210427482807,-76.5329592237468
28532,9,12,20,6135,3.44210427482807,-76.5329592237468
28533,9,12,20,6137,3.44210427482807,-76.5329592237468
28534,9,12,20,6137,3.44210427482807,-76.5329592237468
28535,9,12,20,6135,3.44210427482807,-76.5329592237468
28536,9,12,20,6137,3.44210427482807,-76.5329592237468
28537,9,12,20,6137,3.44210427482807,-76.5329592237468
28538,18,13,20,6138,3.44428218499245,-76.502484494689
28539,18,13,20,6137,3.44428218499245,-76.502484494689
28540,18,13,20,6135,3.44428218499245,-76.502484494689
28541,18,13,20,6138,3.44428218499245,-76.502484494689
28542,18,13,20,6138,3.44428218499245,-76.502484494689
28543,18,13,20,6137,3.44428218499245,-76.502484494689
28544,18,13,20,6135,3.44428218499245,-76.502484494689
28545,18,13,20,6138,3.44428218499245,-76.502484494689
28546,18,13,20,6138,3.44428218499245,-76.502484494689
28547,18,13,20,6137,3.44428218499245,-76.502484494689
28548,18,13,20,6135,3.44428218499245,-76.502484494689
28549,18,13,20,6138,3.44428218499245,-76.502484494689
28550,29,11,20,6137,3.44332180671126,-76.4839397169372
28551,29,11,20,6138,3.44332180671126,-76.4839397169372
28552,29,11,20,6138,3.44332180671126,-76.4839397169372
28553,29,11,20,6138,3.44332180671126,-76.4839397169372
28554,29,11,20,6135,3.44332180671126,-76.4839397169372
28555,29,11,20,6137,3.44332180671126,-76.4839397169372
28556,29,11,20,6135,3.44332180671126,-76.4839397169372
28557,29,11,20,6137,3.44332180671126,-76.4839397169372
28558,29,11,20,6138,3.44332180671126,-76.4839397169372
28559,29,11,20,6137,3.44332180671126,-76.4839397169372
28560,29,11,20,6138,3.44332180671126,-76.4839397169372
28561,29,11,20,6138,3.44332180671126,-76.4839397169372
28562,29,11,20,6138,3.44332180671126,-76.4839397169372
28563,29,11,20,6135,3.44332180671126,-76.4839397169372
28564,29,11,20,6137,3.44332180671126,-76.4839397169372
28565,29,11,20,6135,3.44332180671126,-76.4839397169372
28566,29,11,20,6137,3.44332180671126,-76.4839397169372
28567,29,11,20,6138,3.44332180671126,-76.4839397169372
28568,29,11,20,6137,3.44332180671126,-76.4839397169372
28569,29,11,20,6138,3.44332180671126,-76.4839397169372
28570,29,11,20,6138,3.44332180671126,-76.4839397169372
